feature,importance
generation_rate_ma_3d,0.3191549
generation_rate_lag_1d,0.12947187
generation_rate_ma_7d,0.118230715
solar_radiation_w_m2,0.07157651
week_of_year,0.050534472
cloud_index,0.040767178
is_weekend,0.040603667
humidity_percent,0.039857443
wind_speed_10m_mps,0.037403744
temperature_c,0.032788295
generation_rate_lag_7d,0.028637351
day_of_week,0.028622234
day_of_year,0.024129618
day_of_year_sin,0.023503173
day_of_year_cos,0.014718879
season,0.0
month_sin,0.0
month_cos,0.0
quarter,0.0
month,0.0
