feature,importance
has_sunlight,0.5051706
hour_radiation_interaction,0.27064613
generation_rate_diff_1h,0.068865865
generation_rate_ma_3h,0.06434332
generation_rate_diff_24h,0.037885003
generation_rate_lag_24h,0.014435538
generation_rate_yesterday_same_hour,0.013489509
generation_rate_lag_1h,0.01260739
hour,0.0035391317
radiation_level_no_radiation,0.0029497507
solar_radiation_w_m2,0.0027220263
hour_sin,0.0025535363
radiation_ma_3h,0.0007922562
is_night,0.0
temperature_level_freezing,0.0
cloud_level_overcast,0.0
cloud_level_cloudy,0.0
time_of_day_afternoon,0.0
wind_speed_10m_mps,0.0
radiation_ma_24h,0.0
cloud_level_clear,0.0
season_1,0.0
season_2,0.0
season_4,0.0
month_cos,0.0
time_of_day_night,0.0
generation_rate_ma_24h,0.0
temperature_level_warm,0.0
is_weekend,0.0
month,0.0
time_of_day_noon,0.0
temperature_ma_24h,0.0
radiation_temperature_interaction,0.0
hour_cos,0.0
time_of_day_evening,0.0
time_of_day_morning,0.0
temperature_ma_3h,0.0
radiation_level_high,0.0
radiation_level_low,0.0
cloud_index,0.0
day_of_year,0.0
temperature_c,0.0
temperature_level_cool,0.0
radiation_level_medium,0.0
season_3,0.0
temperature_level_cold,0.0
cloud_level_partly_cloudy,0.0
month_sin,0.0
radiation_level_very_high,0.0
day_of_week,0.0
temperature_level_hot,0.0
humidity_percent,0.0
